Category,SubCategory,Extension,Products
Drinks,Coffee,Coffee Beans,53
Drinks,Coffee,Coffee Capsules,100
Drinks,Coffee,Ground Coffee,47
Drinks,Coffee,Instant & Flavoured Coffee,80
Drinks,"Cordials, Juices & Iced Teas",Chilled Juices,177
Drinks,"Cordials, Juices & Iced Teas",Cordials,82
Drinks,"Cordials, Juices & Iced Teas",Iced Teas,16
Drinks,Flavoured Milk,Drinking Chocolate,12
Drinks,Flavoured Milk,Drinks & Powders,77
Drinks,Flavoured Milk,Kids Milk,7
Drinks,Long Life Milk,Almond Milk,22
Drinks,Long Life Milk,Lactose Free Milk,7
Drinks,Long Life Milk,Oat & Rice Milk,25
Drinks,Long Life Milk,Powdered Milk,4
Drinks,Long Life Milk,Soy Milk,13
Drinks,Soft Drinks,Mixers,81
Drinks,Soft Drinks,Soft Drink Bottles,76
Drinks,Soft Drinks,Soft Drink Cans,70
Drinks,Sports & Energy Drinks,Energy Drinks,75
Drinks,Sports & Energy Drinks,Sports Drinks,41
Drinks,Tea,Black Tea,81
Drinks,Tea,Green Tea,21
Drinks,Tea,Herbal & Specialty Tea,77
Drinks,Water,Flavoured & Coconut Water,16
Drinks,Water,Sparkling Water,59
Drinks,Water,Still Water,35
Freezer,Frozen Desserts,Assorted Desserts,18
Freezer,Frozen Desserts,Cakes & Cheesecakes,18
Freezer,Frozen Desserts,Dessert Pies & Pastries,6
Freezer,Frozen Fruit,Berries & Tropical,37
Freezer,Frozen Meat,Chicken Pieces & Nuggets,56
Freezer,Frozen Meat,Whole Birds & Roasts,0
Freezer,Frozen Party Food,Pastry Sheets,15
Freezer,Frozen Party Food,"Pies, Pastries & Quiches",77
Freezer,Frozen Pizzas,Pizzas,37
Freezer,Frozen Seafood,Fish Fillets,57
Freezer,Frozen Seafood,Fish Fingers & Cakes,16
Freezer,Frozen Seafood,Frozen Seafood,102
Freezer,Frozen Vegetables,Beans & Peas,12
Freezer,Frozen Vegetables,Corn,5
Freezer,Frozen Vegetables,Mixed Vegetables,28
Freezer,Frozen Vegetables,Other Vegetables,18
Freezer,Frozen Vegetables,Steam Packs,7
Freezer,Ice Cream,Frozen Yoghurt,6
Freezer,Ice Cream,Gelato & Sorbet,12
Freezer,Ice Cream,Ice Cream Sticks & Cones,193
Freezer,Ice Cream,Ice Cream Tubs,149
Freezer,Ice Cream,Premium Ice Cream,177
Fruit & Veg,Fruit,Apples & Pears,14
Fruit & Veg,Fruit,Bananas,6
Fruit & Veg,Fruit,Berries & Cherries,12
Fruit & Veg,Fruit,Grapes,8
Fruit & Veg,Fruit,Melons & Mangoes,19
Fruit & Veg,Fruit,Pineapples & Kiwi Fruit,8
Fruit & Veg,Fruit,Tropical & Exotic Fruit,9
Fruit & Veg,Organic,Organic Fruit,9
Fruit & Veg,Organic,Organic Vegetables,41
Fruit & Veg,Salad,Herbs,54
Fruit & Veg,Salad,Sprouts,4
Fruit & Veg,Vegetables,"Broccoli, Cauliflower & Cabbage",8
Fruit & Veg,Vegetables,Capsicum & Mushrooms,27
Fruit & Veg,Vegetables,Onions & Leeks,13
Fruit & Veg,Vegetables,Cucumber,6
Fruit & Veg,Vegetables,Potatoes & Pumpkins,26
Fruit & Veg,Vegetables,Tomatoes,20
Fruit & Veg,Vegetables,"Zucchini, Eggplant & Squash",5
Health & Beauty,Cosmetics,Lips,78
Health & Beauty,Cosmetics,Nails,25
Health & Beauty,Dental Care,Denture Care,11
Health & Beauty,Dental Care,Toothbrushes,271
Health & Beauty,Dental Care,Toothpaste,160
Health & Beauty,First Aid & Medicinal,Antiseptic,18
Health & Beauty,First Aid & Medicinal,"Cold, Flu & Allergies",113
Health & Beauty,First Aid & Medicinal,Cotton Wool & Cotton Buds,6
Health & Beauty,First Aid & Medicinal,Medicinal Oils & Ointments,42
Health & Beauty,First Aid & Medicinal,Quit Smoking,40
Health & Beauty,Hair Care,Colouring,206
Health & Beauty,Hair Care,Hair Accessories & Brushes,137
Health & Beauty,Hair Care,Mens Hair Care,47
Health & Beauty,Hair Care,Shampoo & Conditioner,410
Health & Beauty,Hair Care,Styling Products,151
Health & Beauty,Personal Care & Hygiene,Contraception & Sexual Health,78
Health & Beauty,Personal Care & Hygiene,Female Deodorants & Body Sprays,118
Health & Beauty,Personal Care & Hygiene,Male Deodorants & Body Sprays,112
Health & Beauty,Personal Care & Hygiene,Pregnancy Tests,16
Health & Beauty,Shaving & Hair Removal,After Shave Care,37
Health & Beauty,Shaving & Hair Removal,Shave Gel & Foam,27
Health & Beauty,Skin Care,Body Moisturiser,84
Health & Beauty,Skin Care,Face Moisturiser,245
Health & Beauty,Skin Care,183 Hand Moisturiser,16
Health & Beauty,Skin Care,Lip Care,36
Health & Beauty,Skin Care,Self-Tanning,49
Health & Beauty,Vitamins,Brain & Heart Health,25
Health & Beauty,Vitamins,Detox & Digestion,50
Health & Beauty,Vitamins,"Hair, Skin & Nails",29
Health & Beauty,Vitamins,Others,35
Household,Cleaning Goods,Bathroom Cleaners,16
Household,Cleaning Goods,Disinfectant & Bleach,13
Household,Cleaning Goods,Drain Cleaners & Solvents,13
Household,Cleaning Goods,"Fabric, Metal & Furniture Care",12
Household,Cleaning Goods,Floor/Carpet Cleaners,24
Household,Cleaning Goods,Gloves,31
Household,Cleaning Goods,Kitchen Cleaners,21
Household,Cleaning Goods,"Mops, Buckets & Brooms",71
Household,Cleaning Goods,Multipurpose Cleaners,56
Household,Cleaning Goods,"Sponges, Cloths & Wipes",64
Household,Cleaning Goods,Window & Glass Cleaners,7
Household,Homewares,Water Filtration,11
Household,Kitchen,Sandwich & Freezer Bags,33
Household,Laundry,Fabric Softener,53
Household,Laundry,Ironing & Accessories,48
Household,Laundry,Laundry Liquid,111
Household,Laundry,Laundry Powder,33
Household,Laundry,"Pegs, Baskets & Hangers",15
Household,Parties & Entertaining,Candles,41
Household,Parties & Entertaining,Decorations,53
Household,Pest Control,Crawling Insects,29
Household,Pest Control,Flying Insects,44
Household,Pest Control,Garden Pests,27
Household,Pest Control,Mosquitoes,16
Household,Pest Control,Rodents,9
Pantry,Baking,Cooking Chocolate & Cocoa,42
Pantry,Baking,"Flavouring, Essence & Food Colouring",28
Pantry,Baking,Flour,65
Pantry,Baking,Icing & Cake Decorating,59
Pantry,Baking,"Nuts, Seeds & Coconut",61
Pantry,Baking,Sugar & Sweeteners,74
Pantry,Baking,Yeast & Baking Ingredients,39
Pantry,Breakfast & Spreads,Breakfast Cereal,104
Pantry,Breakfast & Spreads,Honey,50
Pantry,Breakfast & Spreads,Jam,47
Pantry,Breakfast & Spreads,Savoury Spread,28
Pantry,Breakfast & Spreads,Muesli & Oats,153
Pantry,Canned Food & Instant Meals,Baked Beans & Spaghetti,52
Pantry,Canned Food & Instant Meals,Canned Fruit,100
Pantry,Canned Food & Instant Meals,Canned Meat,47
Pantry,Canned Food & Instant Meals,Canned Soup & Soup Ingredients,195
Pantry,Canned Food & Instant Meals,Canned Vegetables,141
Pantry,Canned Food & Instant Meals,Instant Meals & Sides,146
Pantry,Condiments,Mustard,18
Pantry,Condiments,Sweet Chilli & Hot Sauce,40
Pantry,Condiments,Tomato & BBQ Sauce,49
Pantry,Desserts,"Custard, Cream & Yoghurt",16
Pantry,Desserts,"Ice Cream Cones, Syrups & Toppings",30
Pantry,Desserts,Jelly,36
Pantry,Desserts,Puddings,14
Pantry,Desserts,Ready to Freeze Ice Blocks,7
Pantry,Health Foods,Health Breakfast Food & Spread,19
Pantry,Health Foods,Health Cooking & Pasta,154
Pantry,Health Foods,Health Snacks & Drinks,138
Pantry,Herbs & Spices,Dried Herbs & Spices,56
Pantry,Herbs & Spices,Salt & Pepper,108
Pantry,International Foods,Asian,586
Pantry,International Foods,European,1
Pantry,International Foods,Indian,263
Pantry,International Foods,Mexican,109
Pantry,International Foods,Middle Eastern,48
Pantry,International Foods,UK Foods,31
Pantry,"Pasta, Rice & Grains",Beans & Legumes,32
Pantry,"Pasta, Rice & Grains",Rice,129
Pantry,"Sauce, Oil & Vinegar",Marinades & Seasoning,17
Pantry,"Sauce, Oil & Vinegar",Pizza & Pasta Sauce,142
Pantry,"Sauce, Oil & Vinegar",Soy & Asian Sauces,15
Pantry,"Sauce, Oil & Vinegar",Stock & Gravy,115
Pantry,Snacks & Confectionery,Biscuits & Cookies,186
Pantry,Snacks & Confectionery,Corn Chips & Salsa,32
Pantry,Snacks & Confectionery,Muesli Bars & Snack,372
Pantry,Tea & Coffee,Black Tea,83
Pantry,Tea & Coffee,Green Tea,23
Pantry,Tea & Coffee,Herbal & Specialty Tea,79
Pet,"Birds, Fish & Small Pets",Bird Treats,15
Pet,"Birds, Fish & Small Pets",Small Pets Food,8
Pet,Cat & Kitten,Dry Cat Food,82
Pet,Cat & Kitten,Kitten Food,24
Pet,Dog & Puppy,Puppy Food,25
"Poultry, Meat & Seafood",BBQ Meat & Seafood,Burgers & Sausages,69
"Poultry, Meat & Seafood",BBQ Meat & Seafood,Kebabs,7
"Poultry, Meat & Seafood",Seafood,Crab & Lobster,2
"Poultry, Meat & Seafood",Seafood,Prepacked Seafood,40
